epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.4822,2.20859,0.61576,0.93596,1.33817,0.000231897,0.000231897,0.000231897
2,19.8485,1.07141,0.89655,0.99015,0.45164,0.000465245,0.000465245,0.000465245
3,28.0012,0.56938,0.8867,0.99507,0.35087,0.000693881,0.000693881,0.000693881
4,36.3576,0.47312,0.91133,0.98522,0.34548,0.000692794,0.000692794,0.000692794
5,43.8325,0.5724,0.87192,0.97537,0.45597,0.000685726,0.000685726,0.000685726
6,51.6256,0.58459,0.91626,0.98522,0.26979,0.000678657,0.000678657,0.000678657
7,60.018,0.62121,0.87685,0.97537,0.45415,0.000671588,0.000671588,0.000671588
8,67.1601,0.62189,0.9064,0.9803,0.31276,0.00066452,0.00066452,0.00066452
9,75.1379,0.54757,0.9064,0.99015,0.32178,0.000657451,0.000657451,0.000657451
10,82.401,0.51597,0.89655,0.99015,0.35376,0.000650383,0.000650383,0.000650383
11,90.1424,0.49696,0.9064,1,0.24479,0.000643314,0.000643314,0.000643314
12,98.4833,0.46137,0.91626,1,0.36331,0.000636245,0.000636245,0.000636245
13,105.706,0.49296,0.94089,0.99507,0.17611,0.000629177,0.000629177,0.000629177
14,114.194,0.43023,0.90148,0.99507,0.2934,0.000622108,0.000622108,0.000622108
15,121.514,0.47463,0.87192,0.99015,0.36285,0.00061504,0.00061504,0.00061504
16,129.112,0.49421,0.91133,1,0.29218,0.000607971,0.000607971,0.000607971
17,137.124,0.33788,0.92118,0.99507,0.22762,0.000600902,0.000600902,0.000600902
18,144.041,0.30116,0.91626,0.99507,0.21603,0.000593834,0.000593834,0.000593834
19,152.44,0.4253,0.9064,0.99507,0.27745,0.000586765,0.000586765,0.000586765
20,160.467,0.36727,0.92611,0.99507,0.32945,0.000579697,0.000579697,0.000579697
21,167.919,0.42774,0.91133,1,0.20196,0.000572628,0.000572628,0.000572628
22,176.188,0.33535,0.93103,0.99507,0.20198,0.000565559,0.000565559,0.000565559
23,183.176,0.32577,0.89655,1,0.30206,0.000558491,0.000558491,0.000558491
24,191.295,0.37078,0.9064,0.99015,0.34562,0.000551422,0.000551422,0.000551422
25,199.01,0.32106,0.92611,0.98522,0.27806,0.000544354,0.000544354,0.000544354
26,206.4,0.35021,0.91626,0.99507,0.34671,0.000537285,0.000537285,0.000537285
27,214.53,0.32561,0.94581,1,0.17703,0.000530216,0.000530216,0.000530216
28,221.794,0.30724,0.94581,1,0.16531,0.000523148,0.000523148,0.000523148
29,234.006,0.31247,0.93596,0.99507,0.23224,0.000516079,0.000516079,0.000516079
30,242.196,0.30491,0.93596,0.99015,0.23581,0.000509011,0.000509011,0.000509011
31,250.327,0.27964,0.94581,1,0.25373,0.000501942,0.000501942,0.000501942
32,257.661,0.25236,0.93103,0.99507,0.20544,0.000494873,0.000494873,0.000494873
33,266.052,0.43994,0.93103,0.99507,0.23739,0.000487805,0.000487805,0.000487805
34,273.122,0.22421,0.93103,0.98522,0.23697,0.000480736,0.000480736,0.000480736
35,281.273,0.24612,0.92611,1,0.2609,0.000473668,0.000473668,0.000473668
36,289.308,0.27897,0.92118,0.99507,0.35577,0.000466599,0.000466599,0.000466599
37,296.926,0.25144,0.92118,0.98522,0.28955,0.00045953,0.00045953,0.00045953
38,305.339,0.23398,0.91626,0.9803,0.2652,0.000452462,0.000452462,0.000452462
39,312.319,0.24151,0.95074,0.99015,0.14549,0.000445393,0.000445393,0.000445393
40,320.501,0.19043,0.92611,0.99015,0.20602,0.000438325,0.000438325,0.000438325
41,328.87,0.19965,0.93103,1,0.20617,0.000431256,0.000431256,0.000431256
42,336.17,0.26522,0.93596,1,0.21261,0.000424187,0.000424187,0.000424187
43,344.826,0.24459,0.95074,0.99507,0.17994,0.000417119,0.000417119,0.000417119
44,353.466,0.26457,0.92118,0.99015,0.27109,0.00041005,0.00041005,0.00041005
45,360.532,0.27103,0.93596,0.99507,0.17261,0.000402982,0.000402982,0.000402982
46,368.921,0.13361,0.94581,0.99507,0.18326,0.000395913,0.000395913,0.000395913
47,376.235,0.18964,0.93596,0.99507,0.21098,0.000388844,0.000388844,0.000388844
48,384.537,0.15062,0.94581,0.99015,0.19983,0.000381776,0.000381776,0.000381776
49,392.748,0.16356,0.96059,0.99507,0.17578,0.000374707,0.000374707,0.000374707
50,400.094,0.13968,0.94089,0.99507,0.18686,0.000367639,0.000367639,0.000367639
51,408.36,0.1976,0.92611,0.99015,0.3017,0.00036057,0.00036057,0.00036057
52,415.238,0.14773,0.92118,0.99507,0.24119,0.000353501,0.000353501,0.000353501
53,423.262,0.16699,0.95074,0.99507,0.23753,0.000346433,0.000346433,0.000346433
54,431.91,0.1756,0.96552,0.98522,0.14501,0.000339364,0.000339364,0.000339364
55,439.268,0.13372,0.96059,0.99015,0.13862,0.000332296,0.000332296,0.000332296
56,447.861,0.1088,0.96059,0.99015,0.13957,0.000325227,0.000325227,0.000325227
57,455.24,0.11705,0.94581,0.99015,0.20425,0.000318158,0.000318158,0.000318158
58,463.318,0.11642,0.94581,0.99507,0.1667,0.00031109,0.00031109,0.00031109
59,471.563,0.10861,0.93596,0.99507,0.17574,0.000304021,0.000304021,0.000304021
60,478.389,0.13172,0.96059,0.99507,0.14838,0.000296953,0.000296953,0.000296953
61,486.946,0.10679,0.95567,1,0.12315,0.000289884,0.000289884,0.000289884
62,495.375,0.11623,0.95074,0.99015,0.16969,0.000282815,0.000282815,0.000282815
63,502.66,0.1386,0.95567,0.99015,0.17774,0.000275747,0.000275747,0.000275747
64,510.92,0.15846,0.95074,0.99507,0.16961,0.000268678,0.000268678,0.000268678
65,517.884,0.15073,0.95567,0.99015,0.14972,0.00026161,0.00026161,0.00026161
66,526.263,0.08851,0.94581,1,0.15923,0.000254541,0.000254541,0.000254541
67,534.234,0.13116,0.95074,1,0.14191,0.000247472,0.000247472,0.000247472
68,541.17,0.08938,0.96552,1,0.12322,0.000240404,0.000240404,0.000240404
69,549.845,0.08134,0.95567,0.99507,0.15996,0.000233335,0.000233335,0.000233335
70,556.756,0.08239,0.95567,0.99015,0.18176,0.000226267,0.000226267,0.000226267
71,565.256,0.1083,0.95074,0.99015,0.16991,0.000219198,0.000219198,0.000219198
72,573.51,0.08278,0.94089,0.99507,0.17177,0.000212129,0.000212129,0.000212129
73,580.384,0.11548,0.94581,0.99507,0.2187,0.000205061,0.000205061,0.000205061
74,589.081,0.10299,0.95567,0.99507,0.21905,0.000197992,0.000197992,0.000197992
75,596.027,0.0911,0.95074,1,0.23934,0.000190924,0.000190924,0.000190924
76,604.254,0.09123,0.94089,1,0.21682,0.000183855,0.000183855,0.000183855
77,612.432,0.08252,0.94581,0.99507,0.24361,0.000176786,0.000176786,0.000176786
78,619.53,0.1046,0.96059,0.99507,0.22208,0.000169718,0.000169718,0.000169718
79,627.771,0.06605,0.96552,0.99507,0.13777,0.000162649,0.000162649,0.000162649
80,634.727,0.08344,0.95567,0.99507,0.22653,0.000155581,0.000155581,0.000155581
81,642.98,0.06064,0.94581,1,0.16627,0.000148512,0.000148512,0.000148512
82,650.844,0.05867,0.94581,0.99507,0.22101,0.000141443,0.000141443,0.000141443
83,658.08,0.04771,0.95074,0.99015,0.18855,0.000134375,0.000134375,0.000134375
84,666.287,0.07876,0.95567,0.99015,0.19116,0.000127306,0.000127306,0.000127306
85,673.439,0.08635,0.95567,0.99507,0.25087,0.000120238,0.000120238,0.000120238
86,681.679,0.0406,0.94089,0.99015,0.21065,0.000113169,0.000113169,0.000113169
87,689.604,0.07686,0.96059,0.99015,0.21198,0.0001061,0.0001061,0.0001061
88,697.228,0.07251,0.96552,0.99015,0.25078,9.90318e-05,9.90318e-05,9.90318e-05
89,705.619,0.04526,0.96552,0.99507,0.20254,9.19632e-05,9.19632e-05,9.19632e-05
90,712.952,0.0546,0.96552,0.99507,0.16886,8.48946e-05,8.48946e-05,8.48946e-05
91,721.742,0.05214,0.96552,1,0.17284,7.7826e-05,7.7826e-05,7.7826e-05
92,731.182,0.05423,0.96552,0.99507,0.22256,7.07574e-05,7.07574e-05,7.07574e-05
